block	s_base	s_cross	s_cross_after	s_cross_bidir	gc	gc_after	gc_bidir
0	0.484345	0.238125	0.240656	0.277881	0.246220	0.243689	0.206464
1	0.479173	0.257186	0.260108	0.320553	0.221987	0.219065	0.158620
2	0.536970	0.242910	0.245775	0.294114	0.294061	0.291196	0.242857
3	0.633866	0.266964	0.269172	0.297227	0.366902	0.364693	0.336638
4	0.682200	0.237212	0.240187	0.270882	0.444988	0.442013	0.411318
5	0.690093	0.168503	0.176652	0.256992	0.521590	0.513441	0.433101
6	0.663126	0.159943	0.167434	0.246833	0.503183	0.495693	0.416293
7	0.689786	0.155544	0.162644	0.228671	0.534243	0.527142	0.461115
8	0.781255	0.234553	0.238982	0.272907	0.546702	0.542273	0.508348
9	0.857832	0.286200	0.289775	0.308924	0.571632	0.568057	0.548908
10	0.922938	0.493010	0.493408	0.494745	0.429927	0.429529	0.428193
11	0.977924	0.774089	0.774089	0.774089	0.203834	0.203834	0.203834
