block	s_base	s_cross	s_cross_after	s_cross_bidir	gc	gc_after	gc_bidir
0	0.323947	0.198013	0.201266	0.315239	0.125935	0.122681	0.008708
1	0.364782	0.192809	0.198325	0.368911	0.171973	0.166457	-0.004129
2	0.416501	0.231048	0.236208	0.371741	0.185454	0.180293	0.044761
3	0.525933	0.254631	0.258568	0.343312	0.271302	0.267365	0.182621
4	0.572741	0.249959	0.253334	0.314865	0.322781	0.319406	0.257876
5	0.600010	0.253997	0.258746	0.347258	0.346013	0.341263	0.252751
6	0.662634	0.214529	0.219974	0.294744	0.448105	0.442660	0.367891
7	0.692390	0.190594	0.196199	0.262824	0.501796	0.496191	0.429566
8	0.766420	0.254746	0.258854	0.307409	0.511674	0.507566	0.459011
9	0.822175	0.301436	0.304930	0.341760	0.520739	0.517245	0.480415
10	0.907347	0.458619	0.459903	0.468375	0.448728	0.447444	0.438972
11	0.961017	0.693864	0.695483	0.700115	0.267152	0.265534	0.260902
