block	s_base	s_cross	s_cross_after	s_cross_bidir	gc	gc_after	gc_bidir
0	0.547916	0.282696	0.285718	0.326742	0.265220	0.262199	0.221174
1	0.518832	0.353353	0.357494	0.419203	0.165480	0.161339	0.099630
2	0.586966	0.330858	0.334682	0.387204	0.256108	0.252284	0.199762
3	0.667320	0.331514	0.335021	0.372886	0.335806	0.332299	0.294434
4	0.689104	0.289110	0.293531	0.336194	0.399995	0.395573	0.352911
5	0.680149	0.230864	0.239215	0.322373	0.449285	0.440934	0.357775
6	0.676128	0.206074	0.214482	0.294509	0.470054	0.461645	0.381619
7	0.740285	0.187245	0.196029	0.265519	0.553039	0.544256	0.474766
8	0.792366	0.264392	0.269590	0.303126	0.527974	0.522776	0.489241
9	0.842256	0.318827	0.323399	0.345507	0.523430	0.518857	0.496750
10	0.924936	0.482244	0.482795	0.484135	0.442692	0.442141	0.440801
11	0.969613	0.763803	0.764954	0.767592	0.205811	0.204659	0.202021
